id,n_cells,area_m2,max_depth_m,p95_depth_m,mean_depth_m,volume_m3,fill_ratio,floor_sigma_z_m,rim_sigma_z_m,centroid_lat,centroid_lon
15009,148,14800.0,2.2702637,1.9876922,0.7731356,11442.407,0.3405488,0.14465417,0.13049385,13.074956535618972,77.65682081757093
75996,263,26300.0,1.684082,0.96068114,0.43461093,11430.268,0.25806993,0.22476196,0.1495121,12.9435114108437,77.78685040567089
72232,209,20900.0,0.880249,0.86503905,0.54598546,11411.096,0.62026244,0.14138623,0.15364917,12.953116544345546,77.59646893469007
38730,134,13400.0,1.0651855,0.9210205,0.8508492,11401.379,0.79878026,0.04554554,0.12959966,13.017064394565374,77.69938099442975
67924,124,12400.0,1.2875366,1.2665985,0.91660136,11365.857,0.71190315,0.13353606,0.14234503,12.961525830003534,77.64115771679857
100304,244,24400.0,1.0524902,0.9859497,0.46322006,11302.569,0.44011816,0.14778818,0.13486715,12.880781876691552,77.73027889145942
5321,159,15900.0,1.038208,1.038208,0.71036863,11294.861,0.68422574,0.16023463,0.11696839,13.11558553028471,77.61772890596957
96458,83,8300.0,3.58844,2.8682923,1.347568,11184.814,0.37553033,0.18136121,0.14296025,12.893814070997227,77.66425375675797
63512,245,24500.0,1.2409668,0.9515869,0.4556678,11163.861,0.36718774,0.11778795,0.13306415,12.970660362835659,77.58774125933168
6411,57,5700.0,5.375183,4.4040527,1.9542739,11139.361,0.36357346,0.15835571,0.1461648,13.109598805213583,77.62628375061156
86,155,15500.0,1.6174927,1.523645,0.7143972,11073.156,0.4416695,0.12550873,0.13289596,13.14399022560298,77.73490728023968
103603,148,14800.0,1.1234131,1.1234131,0.7409326,10965.802,0.6595371,0.16638581,0.13378973,12.87023031116246,77.59076190373867
6174,69,6900.0,2.9380493,2.7893434,1.5788902,10894.342,0.537394,0.14164351,0.1546531,13.110569564915242,77.6588496584107
75101,314,31400.0,0.9203491,0.8239624,0.34687018,10891.724,0.37688977,0.13072735,0.14137712,12.946534383924426,77.72795613654888
80225,162,16200.0,2.1765747,1.7121155,0.66324794,10744.617,0.30472097,0.17228067,0.15954196,12.937787883870282,77.46082759871287
86268,80,8000.0,4.2664185,3.4546723,1.3351173,10680.938,0.31293634,0.18283159,0.1189306,12.92061625080509,77.77458838855206
112101,87,8700.0,1.9994507,1.9994507,1.215386,10573.858,0.60785997,0.17245068,0.15831272,12.83323729891947,77.54591948589206
14976,481,48100.0,1.09552,0.8557739,0.21609579,10394.208,0.19725409,0.14662537,0.10125458,13.074690893233813,77.67420020467941
36499,81,8100.0,1.5,1.5,1.2831451,10393.476,0.85543007,0.06333148,0.095062174,13.022904839206197,77.49669191469597
